"id","name","longname","alpha","code","code_two","my_train_code","anglia_code","national_rail_code"
2126,"PONTEFRACT BAGHILL","Pontefract Baghill Rail Station","BAGHILL (PONTEFRACT)","PFR","PTFTBHL","9e5579fd-18bd-4f70-9854-85bdc78653b9",NULL,NULL
6,"ABERDOUR","Aberdour Rail Station","\N","AUR","ABDO","7135b365-d0cd-4577-80a3-0fb1cb2d418b",NULL,NULL
7,"ABERDOVEY","Aberdovey Rail Station","ABERDYFI","AVY","ABDVY","f1c2bfde-8e7e-4710-9c8d-99092c9215b1",NULL,NULL
9,"ABERGAVENNY","Abergavenny Rail Station","Y-FENNI","AGV","ABRGVNY","a9923719-4ba3-4c48-8b6b-2e48bdc32d90",NULL,NULL
11,"ABERYSTWYTH","Aberystwyth Rail Station","\N","AYW","ABRYSTH","987fc256-c665-4c98-89c7-77de880ff54b",NULL,NULL
12,"Abraham Moss Mtlk","\N","\N","AMM","MNCRAMM","2209d9a7-b444-4e95-ae9b-56e36cd306d3",NULL,NULL
13,"ACCRINGTON","Accrington Rail Station","\N","ACR","ACRNGTN","ee5f175b-d492-4518-a445-06223779b2dc",NULL,NULL
15,"ACHNASHEEN","Achnasheen Rail Station","\N","ACN","ACHNSHN","f328aa7b-ba7a-43c5-9718-38e680b1ebd8",NULL,NULL
16,"ACHNASHELLACH","Achnashellach Rail Station","\N","ACH","ACHHSHL","ecd8a706-e772-47a7-9d97-3d100f0f60cc",NULL,NULL
3,"ABERCYNON","Abercynon Rail Station","\N","ACY","ABRCYNS","91df9a3a-4885-4640-b03e-945982d13d79",NULL,NULL
18,"ACLE","Acle Rail Station","\N","ACL","ACLE","0ee66604-fe9a-4eba-876a-46c66ffa0544",NULL,NULL
4,"ABERDARE","Aberdare Rail Station","ABERDAR","ABA","ABDARE","828a883e-d6d6-4457-93e7-379b53982600",NULL,NULL
19,"ACOCKS GREEN","Acocks Green Rail Station","\N","ACG","ACOCKSG","7128d19f-f847-42c0-a4d9-03a89d5363dc",NULL,NULL
21,"ACTON CENTRAL","Acton Central Rail Station","\N","ACC","ACTNCTL","18fe33ad-95ba-43b4-8657-da65055e21fe",NULL,NULL
22,"ACTON MAIN LINE","Acton Main Line Rail Station","\N","AML","ACTONML","168ac33c-71fb-4a9b-a750-eae2a0bc985c",NULL,NULL
25,"ADDIEWELL","Addiewell Rail Station","\N","ADW","ADIEWEL","75816156-4f47-4e8c-9db6-d81376debb9e",NULL,NULL
26,"ADDLESTONE","Addlestone Rail Station","\N","ASN","ADLESTN","1277b773-8911-471b-af7c-071b414cc1c0",NULL,NULL
28,"ADLINGTON (CHESHIRE)","Adlington (Cheshire) Rail Station","\N","ADC","ADLC","53c55999-9a15-4aab-a7da-99ef72443af7",NULL,NULL
30,"ADWICK","Adwick Rail Station","\N","AWK","ADWICK","38e1201e-c8ca-44ef-a0bd-4485e37ac5ed",NULL,NULL
31,"AIGBURTH","Aigburth Rail Station","\N","AIG","AIGBURT","7a1f7b3f-c9eb-4d4e-bed1-385bb645600e",NULL,NULL
32,"AINSDALE","Ainsdale Rail Station","\N","ANS","AINSDAL","c7c0d9de-71d9-4398-a620-1a38b3d12793",NULL,NULL
34,"AIRBLES","Airbles Rail Station","\N","AIR","AIRBLES","fadc5b37-af7e-4a0d-a0b2-6616997f396c",NULL,NULL
35,"AIRDRIE","Airdrie Rail Station","\N","ADR","AIRDRIE","0b5d35f3-b883-4277-98b8-495a2c0d546a",NULL,NULL
41,"ALBRIGHTON","Albrighton Rail Station","\N","ALB","ALBRGHT","87cff2a5-0026-4c92-80ca-41129966f98c",NULL,NULL
37,"ALBANY PARK","Albany Park Rail Station","\N","AYP","ALBNYPK","fb8d2ab1-b17c-4bff-95d6-4b905bb12c79",NULL,NULL
42,"ALDERLEY EDGE","Alderley Edge Rail Station","\N","ALD","ALDEDGE","9d3f07df-4d68-4fc4-9801-5255e9e2c48a",NULL,NULL
43,"ALDERMASTON","Aldermaston Rail Station","\N","AMT","ALDMSTN","25efb69b-5608-4e24-a562-c69966e2e78b",NULL,NULL
44,"ALDERSHOT","Aldershot Rail Station","\N","AHT","ALDRSHT","c3581a1d-2455-4e96-b78b-89874e3235a4",NULL,NULL
45,"ALDRINGTON","Aldrington Rail Station","\N","AGT","ALDTON","734bd458-da94-478d-b8cb-a0001211d8d1",NULL,NULL
46,"ALEXANDRA PALACE","Alexandra Palace Rail Station","\N","AAP","ALEXNDP","34953ab3-bceb-45f8-b835-376bd4c40cbd",NULL,NULL
47,"ALEXANDRA PARADE GLASGOW","Alexandra Parade Rail Station","\N","AXP","ALXPD","2e17e3d7-e53f-42d5-8c99-f6c5acc57393",NULL,NULL
